school,conf,rk,w,l,wl,ap_pre,ap_high,ap_final,ncaa_numeric,season,coaches,year
akron,OVC,34,8,19,0.8890054855968088,30,30,30,0,1983-84,Bob Rupert (8-19),1983
akron,OVC,35,14,15,0.6961590823918904,30,30,30,0,1982-83,Bob Rupert (14-15),1982
akron,OVC,36,7,19,0.7649576214556504,30,30,30,0,1981-82,Bob Rupert (7-19),1981
akron,OVC,37,8,18,0.7847207629247971,30,30,30,0,1980-81,Bob Rupert (8-18),1980
akron,Ind,38,16,9,0.6481974588612267,30,30,30,0,1949-50,Russell Beichly (16-9),1949
akron,Ind,39,16,6,0.39115717741171907,30,30,30,0,1948-49,Russell Beichly (16-6),1948
akron,Ind,40,15,9,0.8632864240428751,30,30,30,0,1947-48,Russell Beichly (15-9),1947
akron,Ind,41,21,2,0.35405946316578674,30,30,30,0,1944-45,Russell Beichly (21-2),1944
akron,Ind,42,10,5,0.33774040149630635,30,30,30,0,1943-44,Russell Beichly (10-5),1943
akron,Ind,43,18,3,0.9494106771819223,30,30,30,0,1942-43,Russell Beichly (18-3),1942
akron,Ind,44,15,1,0.10959532283494056,30,30,30,0,1933-34,Red Blair (15-1),1933
akron,Ind,45,12,1,0.49107411696999426,30,30,30,0,1922-23,Fred Sefton (12-1),1922
akron,Ind,46,5,8,0.6659554750810024,30,30,30,0,1921-22,Fred Sefton (5-8),1921
akron,Ind,47,11,2,0.8375545673892358,30,30,30,0,1920-21,Fred Sefton (11-2),1920
akron,Ind,48,12,2,0.22331532792408104,30,30,30,0,1919-20,Fred Sefton (12-2),1919
akron,Ind,49,14,0,0.6432931064074925,30,30,30,0,1918-19,Fred Sefton (14-0),1918
akron,Ind,50,9,4,0.10767216645626942,30,30,30,0,1917-18,Fred Sefton (9-4),1917
akron,Ind,51,14,2,0.5349698891838217,30,30,30,0,1916-17,Fred Sefton (14-2),1916
akron,Ind,52,5,5,0.812679689005567,30,30,30,0,1915-16,Fred Sefton (5-5),1915
akron,Ind,53,2,10,0.6817959186080881,30,30,30,0,1914-15,Frank Haggerty (2-10),1914
akron,Ind,54,6,6,0.29100413869579145,30,30,30,0,1913-14,Frank Haggerty (6-6),1913
akron,Ind,55,7,1,0.5963590663402035,30,30,30,0,1912-13,Frank Haggerty (7-1),1912
akron,Ind,56,6,3,0.39461143273316446,30,30,30,0,1911-12,Frank Haggerty (6-3),1911
akron,Ind,57,8,4,0.159236754800142,30,30,30,0,1910-11,Frank Haggerty (8-4),1910
akron,Ind,58,5,3,0.42374950854438576,30,30,30,0,1909-10,Clarence Weed (5-3),1909
akron,Ind,59,6,7,0.11327298703305122,30,30,30,0,1908-09,Walter East (6-7),1908
akron,Ind,60,4,5,0.6228077324044797,30,30,30,0,1907-08,Earl Williams (4-5),1907
akron,Ind,61,5,2,0.09473371578463619,30,30,30,0,1906-07,Earl Williams (5-2),1906
akron,Ind,62,6,7,0.5505563208009374,30,30,30,0,1905-06,Earl Williams (6-7),1905
akron,Ind,63,8,6,0.90047628752305,30,30,30,0,1904-05,Earl Williams (8-6),1904
akron,Ind,64,3,7,0.46002744940670637,30,30,30,0,1903-04,No coach,1903
akron,Ind,65,4,4,0.2662931155120589,30,30,30,0,1902-03,No coach,1902
akron,Ind,66,2,2,0.16232004096718367,30,30,30,0,1901-02,No coach,1901
alabama,SEC,1,19,14,0.5128025983643629,30,30,30,0,2016-17,Avery Johnson (19-14),2016
alabama,SEC,2,18,15,0.13797828493057607,30,30,30,0,2015-16,Avery Johnson (18-15),2015
alabama,SEC,3,19,15,0.11522670437060323,30,30,30,0,2014-15,"John Brannen (1-1), Anthony Grant (18-14)",2014
alabama,SEC,4,13,19,0.29883315476279526,30,30,30,0,2013-14,Anthony Grant (13-19),2013
alabama,SEC,5,23,13,0.12929486115911903,30,30,30,0,2012-13,Anthony Grant (23-13),2012
alabama,SEC,6,21,12,0.3905550656414847,19,12,30,2,2011-12,Anthony Grant (21-12),2011
alabama,SEC,7,25,12,0.8866808503738733,30,30,30,0,2010-11,Anthony Grant (25-12),2010
alabama,SEC,8,17,15,0.9175430696589266,30,30,30,0,2009-10,Anthony Grant (17-15),2009
alabama,SEC,9,18,14,0.8916964493480922,30,30,30,0,2008-09,"Mark Gottfried (12-7), Philip Pearson (6-7)",2008
alabama,SEC,10,17,16,0.026392050559342017,30,30,30,0,2007-08,Mark Gottfried (17-16),2007
alabama,SEC,11,20,12,0.41720734186727526,11,4,30,0,2006-07,Mark Gottfried (20-12),2006
alabama,SEC,12,18,13,0.5161798089039842,15,15,30,2,2005-06,Mark Gottfried (18-13),2005
alabama,SEC,13,24,8,0.44669750673932807,18,11,21,1,2004-05,Mark Gottfried (24-8),2004
alabama,SEC,14,20,13,0.5900914833907218,30,30,30,16,2003-04,Mark Gottfried (20-13),2003
alabama,SEC,15,17,12,0.8416803047728834,8,1,30,1,2002-03,Mark Gottfried (17-12),2002
alabama,SEC,16,27,8,0.47879849972347965,24,5,8,2,2001-02,Mark Gottfried (27-8),2001
alabama,SEC,17,25,11,0.32531450008252927,30,14,30,0,2000-01,Mark Gottfried (25-11),2000
alabama,SEC,18,13,16,0.02318455850886536,30,30,30,0,1999-00,Mark Gottfried (13-16),1999
alabama,SEC,19,17,15,0.23859102905827445,30,30,30,0,1998-99,Mark Gottfried (17-15),1998
alabama,SEC,20,15,16,0.27729173688692044,30,30,30,0,1997-98,David Hobbs (15-16),1997
alabama,SEC,21,17,14,0.9809121383339663,30,19,30,0,1996-97,David Hobbs (17-14),1996
alabama,SEC,22,19,13,0.9178634206919668,30,30,30,0,1995-96,David Hobbs (19-13),1995
alabama,SEC,23,23,10,0.8308631032235253,18,18,20,2,1994-95,David Hobbs (23-10),1994
alabama,SEC,24,20,10,0.4494247428804068,30,30,30,2,1993-94,David Hobbs (20-10),1993
alabama,SEC,25,16,13,0.5360491985110214,30,30,30,0,1992-93,David Hobbs (16-13),1992
alabama,SEC,26,26,9,0.771565462296612,17,9,13,2,1991-92,Wimp Sanderson (26-9),1991
alabama,SEC,27,23,10,0.5733826669847841,7,6,19,8,1990-91,Wimp Sanderson (23-10),1990
alabama,SEC,28,26,9,0.3438303455178845,30,19,23,8,1989-90,Wimp Sanderson (26-9),1989
alabama,SEC,29,23,8,0.42397037492305734,30,20,20,1,1988-89,Wimp Sanderson (23-8),1988
alabama,SEC,30,14,17,0.9020741245736486,30,30,30,0,1987-88,Wimp Sanderson (14-17),1987
alabama,SEC,31,28,5,0.42257514237732186,13,8,9,8,1986-87,Wimp Sanderson (28-5),1986
alabama,SEC,32,24,9,0.45064160156737776,30,18,30,8,1985-86,Wimp Sanderson (24-9),1985
alabama,SEC,33,23,10,0.6553621245963522,30,30,30,8,1984-85,Wimp Sanderson (23-10),1984
alabama,SEC,34,18,12,0.01821792102253328,30,30,30,1,1983-84,Wimp Sanderson (18-12),1983
alabama,SEC,35,20,12,0.8054086266177253,12,5,30,1,1982-83,Wimp Sanderson (20-12),1982
alabama,SEC,36,24,7,0.45184011564402937,20,8,13,8,1981-82,Wimp Sanderson (24-7),1981
alabama,SEC,37,18,11,0.9472042203168635,30,30,30,0,1980-81,Wimp Sanderson (18-11),1980
alabama,SEC,38,18,12,0.494960577306063,30,30,30,0,1979-80,C.M. Newton (18-12),1979
alabama,SEC,39,22,11,0.9041239244261654,19,13,30,0,1978-79,C.M. Newton (22-11),1978
alabama,SEC,40,17,10,0.7232974607041253,15,15,30,0,1977-78,C.M. Newton (17-10),1977
alabama,SEC,41,25,6,0.05595325787252048,13,3,11,0,1976-77,C.M. Newton (25-6),1976
alabama,SEC,42,23,5,0.7799090575660924,12,6,6,8,1975-76,C.M. Newton (23-5),1975
alabama,SEC,43,22,5,0.4998291038858025,9,5,10,1,1974-75,C.M. Newton (22-5),1974
alabama,SEC,44,22,4,0.3440968547817246,18,7,14,0,1973-74,C.M. Newton (22-4),1973
alabama,SEC,45,22,8,0.2981026396575869,30,6,30,0,1972-73,C.M. Newton (22-8),1972
alabama,SEC,46,18,8,0.5043583305027577,30,30,30,0,1971-72,C.M. Newton (18-8),1971
alabama,SEC,47,10,16,0.8160241791287155,30,30,30,0,1970-71,C.M. Newton (10-16),1970
alabama,SEC,48,8,18,0.8307360816926529,30,30,30,0,1969-70,C.M. Newton (8-18),1969
alabama,SEC,49,4,20,0.17460341774999877,30,30,30,0,1968-69,C.M. Newton (4-20),1968
alabama,SEC,50,10,16,0.677151448186216,30,30,30,0,1967-68,Hayden Riley (10-16),1967
alabama,SEC,51,13,13,0.013416987154227233,30,30,30,0,1966-67,Hayden Riley (13-13),1966
alabama,SEC,52,16,10,0.8774930663138445,30,30,30,0,1965-66,Hayden Riley (16-10),1965
alabama,SEC,53,17,9,0.06386986986666199,30,30,30,0,1964-65,Hayden Riley (17-9),1964
alabama,SEC,54,14,12,0.12373419139756492,30,30,30,0,1963-64,Hayden Riley (14-12),1963
alabama,SEC,55,14,11,0.6026307215207104,30,30,30,0,1962-63,Hayden Riley (14-11),1962
alabama,SEC,56,11,15,0.9598575176391143,30,30,30,0,1961-62,Hayden Riley (11-15),1961
alabama,SEC,57,7,18,0.6402955216220024,30,30,30,0,1960-61,Hayden Riley (7-18),1960
alabama,SEC,58,7,17,0.5433488605746382,30,30,30,0,1959-60,Eugene Lambert (7-17),1959
alabama,SEC,59,10,12,0.020193842320187394,30,30,30,0,1958-59,Eugene Lambert (10-12),1958
alabama,SEC,60,17,9,0.6526193244783505,30,30,30,0,1957-58,Eugene Lambert (17-9),1957
alabama,SEC,61,15,11,0.46333752538260964,30,9,30,0,1956-57,Eugene Lambert (15-11),1956
alabama,SEC,62,21,3,0.6160552237209693,30,4,5,0,1955-56,Johnny Dee (21-3),1955
alabama,SEC,63,19,5,0.6350573056450223,30,11,12,0,1954-55,Johnny Dee (19-5),1954
alabama,SEC,64,16,8,0.46358605400745656,30,30,30,0,1953-54,Johnny Dee (16-8),1953
alabama,SEC,65,12,9,0.19534023745495077,30,30,30,0,1952-53,Johnny Dee (12-9),1952
alabama,SEC,66,13,9,0.8691705607074932,30,30,30,0,1951-52,Floyd Burdette (13-9),1951
alabama,SEC,67,15,8,0.5711896658402255,30,30,30,0,1950-51,Floyd Burdette (15-8),1950
alabama,SEC,68,9,12,0.49574355025174266,30,30,30,0,1949-50,Floyd Burdette (9-12),1949
alabama,SEC,69,13,12,0.6749133132108792,30,30,30,0,1948-49,Floyd Burdette (13-12),1948
alabama,SEC,70,15,12,0.6449763470706699,30,30,30,0,1947-48,Floyd Burdette (15-12),1947
alabama,SEC,71,16,6,0.16112614412505089,30,30,30,0,1946-47,Floyd Burdette (16-6),1946
alabama,SEC,72,11,5,0.1711916220487547,30,30,30,0,1945-46,Hank Crisp (11-5),1945
alabama,SEC,73,10,5,0.2825380140187791,30,30,30,0,1944-45,Malcolm Laney (10-5),1944
alabama,SEC,74,10,10,0.9666384607147591,30,30,30,0,1942-43,Paul Burnham (10-10),1942
alabama,SEC,75,18,6,0.3011652081408197,30,30,30,0,1941-42,Hank Crisp (18-6),1941
alabama,SEC,76,14,8,0.8050328722176148,30,30,30,0,1940-41,Hank Crisp (14-8),1940
alabama,SEC,77,18,5,0.6367712887495697,30,30,30,0,1939-40,Hank Crisp (18-5),1939
alabama,SEC,78,16,5,0.921555983548221,30,30,30,0,1938-39,Hank Crisp (16-5),1938
alabama,SEC,79,4,13,0.11849042031479495,30,30,30,0,1937-38,Hank Crisp (4-13),1937
alabama,SEC,80,11,10,0.3474891308819902,30,30,30,0,1936-37,Hank Crisp (11-10),1936
alabama,SEC,81,15,9,0.4401950833093584,30,30,30,0,1935-36,Hank Crisp (15-9),1935
alabama,SEC,82,9,8,0.5252296065167901,30,30,30,0,1934-35,Hank Crisp (9-8),1934
alabama,SEC,83,16,2,0.1485074349475889,30,30,30,0,1933-34,Hank Crisp (16-2),1933
alabama,SEC,84,14,5,0.1801935661602888,30,30,30,0,1932-33,Hank Crisp (14-5),1932
alabama,Southern,85,16,4,0.539202130861677,30,30,30,0,1931-32,Hank Crisp (16-4),1931
alabama,Southern,86,14,6,0.5242683925257826,30,30,30,0,1930-31,Hank Crisp (14-6),1930
alabama,Southern,87,20,0,0.23182946328681053,30,30,30,0,1929-30,Hank Crisp (20-0),1929
alabama,Southern,88,16,10,0.7752356446095412,30,30,30,0,1928-29,Hank Crisp (16-10),1928
alabama,Southern,89,10,10,0.7979874280350392,30,30,30,0,1927-28,Hank Crisp (10-10),1927
alabama,Southern,90,5,8,0.38743731233159084,30,30,30,0,1926-27,Hank Crisp (5-8),1926
alabama,Southern,91,10,11,0.7469181261050174,30,30,30,0,1925-26,Hank Crisp (10-11),1925
alabama,Southern,92,15,4,0.9610150681726162,30,30,30,0,1924-25,Hank Crisp (15-4),1924
alabama,Southern,93,12,4,0.6651576313765282,30,30,30,0,1923-24,Hank Crisp (12-4),1923
alabama,Southern,94,20,5,0.7802705408556776,30,30,30,0,1922-23,Charles Bernier (20-5),1922
alabama,Southern,95,15,4,0.8503602986059023,30,30,30,0,1921-22,Charles Bernier (15-4),1921
alabama,Ind,96,12,10,0.08151141466434586,30,30,30,0,1920-21,Charles Bernier (12-10),1920
alabama,Ind,97,5,7,0.9342186226365363,30,30,30,0,1919-20,Bill Moore (5-7),1919
alabama,Ind,98,3,3,0.3587600090153832,30,30,30,0,1918-19,Yancey Goodall (3-3),1918
alabama,Ind,99,2,5,0.31020744343185236,30,30,30,0,1917-18,Lonnie Noojin (2-5),1917
alabama,Ind,100,6,8,0.7838387015924204,30,30,30,0,1916-17,Thomas Kelly (6-8),1916
alabama,Ind,101,13,4,0.2402925844763556,30,30,30,0,1915-16,Griff Harsh (13-4),1915
alabama,Ind,102,7,4,0.7651535553000266,30,30,30,0,1914-15,Tubby Graves (7-4),1914
alabama,Ind,103,6,4,0.5447202357124665,30,30,30,0,1913-14,Tubby Graves (6-4),1913
alabama,Ind,104,7,4,0.6380739830060869,30,30,30,0,1912-13,Tubby Graves (7-4),1912
alabama-state,SWAC,1,8,23,0.5146248029726205,30,30,30,0,2016-17,Lewis Jackson (8-23),2016
alabama-state,SWAC,2,14,17,0.22029197136111267,30,30,30,0,2015-16,Lewis Jackson (14-17),2015
alabama-state,SWAC,3,19,10,0.012144102451680738,30,30,30,0,2014-15,Lewis Jackson (19-10),2014
alabama-state,SWAC,4,19,13,0.6959413168390732,30,30,30,0,2013-14,Lewis Jackson (19-13),2013
alabama-state,SWAC,5,10,22,0.24536975598644695,30,30,30,0,2012-13,Lewis Jackson (10-22),2012
alabama-state,SWAC,6,12,19,0.8782250250776753,30,30,30,0,2011-12,Lewis Jackson (12-19),2011
alabama-state,SWAC,7,17,18,0.8734865115260414,30,30,30,1,2010-11,Lewis Jackson (17-18),2010
alabama-state,SWAC,8,16,15,0.1175389182032548,30,30,30,0,2009-10,Lewis Jackson (16-15),2009
alabama-state,SWAC,9,22,10,0.15154709646996567,30,30,30,1,2008-09,Lewis Jackson (22-10),2008
alabama-state,SWAC,10,20,11,0.12638697556070178,30,30,30,0,2007-08,Lewis Jackson (20-11),2007
alabama-state,SWAC,11,10,20,0.10586249910067358,30,30,30,0,2006-07,Lewis Jackson (10-20),2006
alabama-state,SWAC,12,12,18,0.158688587592262,30,30,30,0,2005-06,Lewis Jackson (12-18),2005
alabama-state,SWAC,13,15,15,0.2676600957014993,30,30,30,0,2004-05,Rob Spivery (15-15),2004
alabama-state,SWAC,14,16,15,0.2626506171663324,30,30,30,1,2003-04,Rob Spivery (16-15),2003
alabama-state,SWAC,15,14,15,0.24275604690527797,30,30,30,0,2002-03,Rob Spivery (14-15),2002
alabama-state,SWAC,16,19,13,0.9427488218498609,30,30,30,0,2001-02,Rob Spivery (19-13),2001
alabama-state,SWAC,17,22,9,0.12467776647832762,30,30,30,1,2000-01,Rob Spivery (22-9),2000
alabama-state,SWAC,18,13,15,0.44680329112417494,30,30,30,0,1999-00,Rob Spivery (13-15),1999
alabama-state,SWAC,19,11,16,0.2546209483880971,30,30,30,0,1998-99,Rob Spivery (11-16),1998
alabama-state,SWAC,20,11,17,0.8934909275890838,30,30,30,0,1997-98,Rob Spivery (11-17),1997
alabama-state,SWAC,21,8,21,0.7474509551859773,30,30,30,0,1996-97,Rob Spivery (8-21),1996
alabama-state,SWAC,22,9,18,0.24488066829406463,30,30,30,0,1995-96,John L. Williams (9-18),1995
alabama-state,SWAC,23,11,15,0.6231136501171729,30,30,30,0,1994-95,James Oliver (11-15),1994
alabama-state,SWAC,24,19,10,0.7629042459371466,30,30,30,0,1993-94,James Oliver (19-10),1993
alabama-state,SWAC,25,14,13,0.8264870886985037,30,30,30,0,1992-93,James Oliver (14-13),1992
alabama-state,SWAC,26,14,14,0.37131565501470143,30,30,30,0,1991-92,James Oliver (14-14),1991
alabama-state,SWAC,27,18,11,0.17935104774011157,30,30,30,0,1990-91,James Oliver (18-11),1990
alabama-state,SWAC,28,15,13,0.277425029580167,30,30,30,0,1989-90,James Oliver (15-13),1989
alabama-state,SWAC,29,13,16,0.34648401907386217,30,30,30,0,1988-89,James Oliver (13-16),1988
alabama-state,SWAC,30,8,20,0.4206800827391002,30,30,30,0,1987-88,James Oliver (8-20),1987
alabama-state,SWAC,31,14,14,0.09036979688193769,30,30,30,0,1986-87,James Oliver (14-14),1986
alabama-state,SWAC,32,11,17,0.601211374941455,30,30,30,0,1985-86,James Oliver (11-17),1985
alabama-state,SWAC,33,14,17,0.2891768347521806,30,30,30,0,1984-85,James Oliver (14-17),1984
alabama-state,SWAC,34,22,6,0.5718055011072724,30,30,30,0,1983-84,James Oliver (22-6),1983
alabama-state,SWAC,35,22,6,0.08353243912900499,30,30,30,0,1982-83,James Oliver (22-6),1982
alabama-birmingham,CUSA,1,17,16,0.6101251379956233,30,30,30,0,2016-17,Rob Ehsan (17-16),2016
alabama-birmingham,CUSA,2,26,7,0.5628688124602106,30,30,30,0,2015-16,Jerod Haase (26-7),2015
alabama-birmingham,CUSA,3,20,16,0.3303371272114267,30,30,30,4,2014-15,Jerod Haase (20-16),2014
alabama-birmingham,CUSA,4,18,13,0.3594467325583167,30,30,30,0,2013-14,Jerod Haase (18-13),2013
alabama-birmingham,CUSA,5,16,17,0.08015874338138473,30,30,30,0,2012-13,Jerod Haase (16-17),2012
